Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1175,Google - Global,4.3E+16,paris tourism,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5.00,14.00,41.97,3.00,1667.00,0.01,1.19,0.07,41.97,632.40,41.97,1.00
K1175,Google - Global,4.3E+16,paris cheap flight,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5.00,162.00,382.74,2.36,1255.00,0.13,1.87,0.01,191.37,5664.40,382.74,2.00
K2615,Yahoo - US,4.3E+16,airfrance us,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.50,136.00,77.27,0.57,714.00,0.19,1.16,0.01,38.64,1132.20,77.27,2.00
K435,Google - US,4.3E+16,barcelona flight,Broad,Google_Yearlong 2006,Google|Barcelona,barcelona,Postiion 1-4 Bid Strategy,Unassigned,Paused,6.25,61.00,126.79,2.08,1413.00,0.04,1.63,0.02,126.79,1851.30,126.79,1.00
K2615,Yahoo - US,4.3E+16,international air fare,Advanced,Geo Targeted DC,International DC,uncategorized,,Unassigned,Paused,6.25,11.00,22.32,2.03,586.00,0.02,3.59,0.36,5.58,317.05,22.32,4.00
K2615,Yahoo - US,4.3E+16,france cheap ticket,Standard,Paris & France Terms,France,uncategorized,,Unassigned,Live,6.25,32.00,43.78,1.37,181.00,0.18,1.00,0.03,43.78,606.90,43.78,1.00
K2966,MSN - US,4.3E+16,air france,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Live,0.00,5417.00,8288.46,1.53,39052.00,0.14,1.30,0.01,112.01,110667.45,8288.46,74.00
K2003,MSN - Global,4.3E+16,air france com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,Position 1-4 Bid Strategy,Unassigned,Deactivated,0.00,560.00,305.79,0.55,2022.00,0.28,1.04,0.01,50.96,4070.65,305.79,6.00
K2966,MSN - US,4.3E+16,air france com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Live,0.00,390.00,342.80,0.88,1337.00,0.29,1.40,0.01,68.56,4459.10,342.80,5.00
K1175,Google - Global,4.3E+16,flight to paris,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,5.00,385.00,902.22,2.34,4437.00,0.09,2.17,0.02,128.89,11599.95,902.22,7.00
